ID,Age,Experience,Income,ZIPCode,Family,CCAvg,Education,Mortgage,Securities Account,CD Account,Online,CreditCard,Personal Loan
1,61,18,186,51992,2,5.46,3,270,1,0,0,0,1
2,51,19,126,27716,2,1.79,1,4,0,1,0,0,1
3,37,35,37,23621,4,2.42,3,100,0,1,1,1,0
4,30,34,164,16820,2,3.46,1,285,1,1,1,1,1
5,43,31,186,52800,2,6.11,2,52,1,0,0,0,1
6,61,39,90,65043,1,3.66,2,217,0,1,0,1,0
7,41,23,125,40399,4,7.6,3,285,0,0,1,1,1
8,45,16,73,24002,1,6.35,3,239,0,1,1,0,1
9,33,6,113,53098,1,8.8,3,213,0,1,1,0,1
10,33,0,95,55511,2,5.26,1,103,1,1,0,1,1
11,46,34,54,63243,1,3.65,1,221,1,1,0,1,0
12,58,31,30,38750,3,9.96,1,188,1,0,1,0,0
13,62,35,80,27310,2,3.88,2,98,1,0,0,1,0
14,46,12,63,65398,3,4.57,3,96,0,1,1,1,0
15,25,5,140,92542,2,8.19,1,72,0,0,1,0,1
16,44,13,87,85207,1,1.34,2,255,1,0,1,1,0
17,24,36,44,54345,2,4.17,3,230,1,0,1,1,0
18,46,14,195,61843,3,1.31,2,169,1,1,0,1,1
19,52,3,179,20222,2,1.82,3,156,0,1,1,0,1
20,60,39,103,99322,3,0.54,1,221,1,1,0,0,1
21,24,15,133,41509,4,0.59,2,98,0,1,0,0,1
22,43,27,151,10386,1,4.11,2,219,0,0,1,1,0
23,55,15,185,74334,3,8.19,2,243,0,0,0,1,1
24,34,3,194,77170,4,6.08,3,258,0,1,0,1,1
25,44,25,20,50878,1,6.53,3,193,1,1,0,0,1
26,47,27,150,79669,4,5.43,2,149,0,1,1,1,1
27,49,31,105,48349,3,8.29,3,154,0,0,1,0,1
28,64,1,81,31952,1,8.86,2,21,1,1,1,1,1
29,50,30,83,31529,4,8.57,1,115,1,1,0,1,1
30,38,2,164,81303,3,8.22,2,112,0,1,0,0,1
31,37,7,145,51521,4,2.24,2,210,1,0,1,1,0
32,25,23,124,28383,1,6.14,3,23,1,1,0,1,1
33,59,14,81,14901,1,6.03,3,282,0,0,1,0,0
34,29,30,54,52889,1,5.52,3,291,1,1,1,1,1
35,43,8,32,24633,3,5.07,1,55,0,1,1,1,1
36,31,38,182,72244,4,1.35,1,265,0,1,0,1,1
37,61,1,62,29163,4,1.47,1,53,1,0,0,1,0
38,40,7,149,69019,3,9.07,3,107,1,1,1,0,1
39,26,6,130,20707,1,6.49,2,201,1,0,1,1,1
40,47,38,147,98112,2,2.99,2,201,0,1,1,0,1
41,36,15,70,93597,1,3.15,2,217,1,0,0,1,0
42,31,34,163,55101,2,6.3,3,242,0,1,1,1,1
43,48,29,165,54706,1,4.37,3,177,1,1,1,1,1
44,24,9,154,87084,3,4.69,1,60,0,0,0,0,0
45,42,37,64,25115,2,1.08,3,35,1,0,0,1,0
46,50,17,183,85379,3,1.82,2,45,0,1,0,1,1
47,29,4,188,49979,2,4.24,1,94,1,1,1,0,1
48,30,28,61,50641,4,7.15,1,43,1,1,0,0,1
49,57,38,154,79377,2,0.96,3,225,1,0,1,1,0
50,36,33,34,16416,2,3.68,1,145,1,1,1,0,0
51,39,22,79,20633,2,7.1,1,268,1,0,1,0,0
52,58,4,59,10594,4,8.02,3,12,0,0,0,1,0
53,62,29,184,24393,3,2.31,1,24,0,0,1,0,0
54,26,5,131,45380,4,7.45,2,260,1,1,0,1,1
55,24,3,96,55056,2,9.58,3,127,0,1,0,0,1
56,28,28,124,98279,1,9.11,2,38,0,1,0,0,1
57,64,22,126,14861,4,8.0,2,156,1,1,1,1,1
58,26,5,141,46126,1,7.27,2,184,1,0,0,1,1
59,51,31,99,90382,4,2.73,2,173,0,1,1,1,0
60,40,17,144,43682,4,6.52,1,185,0,0,1,0,1
61,48,14,191,28228,2,6.61,1,280,1,0,0,1,1
62,56,39,153,34009,3,4.36,3,73,1,0,1,1,0
63,32,31,51,10094,3,5.18,3,294,1,1,0,1,1
64,58,8,127,90636,2,7.09,2,15,0,1,0,0,1
65,36,36,133,62221,4,9.54,2,187,1,1,0,1,1
66,53,9,165,27430,3,3.31,3,171,0,0,0,1,0
67,37,19,87,45571,3,2.84,3,185,1,0,1,0,0
68,30,5,146,64486,3,6.22,3,31,1,1,0,1,1
69,36,2,154,72294,2,1.74,3,62,0,0,1,1,0
70,45,10,133,30860,1,6.03,2,188,1,0,1,1,1
71,62,16,27,82812,1,1.34,3,25,0,0,0,1,0
72,43,31,83,76087,1,5.16,1,38,0,1,1,0,1
73,38,3,154,18486,1,6.39,2,192,0,1,0,1,1
74,40,3,60,93063,1,1.17,1,162,1,1,0,1,0
75,46,16,59,59607,3,2.47,3,52,1,0,0,1,0
76,48,18,22,19745,3,3.69,1,173,1,1,1,1,0
77,47,4,164,88533,4,4.0,3,195,0,1,0,1,1
78,63,31,129,28330,3,6.92,1,210,1,0,1,0,1
79,51,21,133,50078,2,5.53,2,277,1,0,0,1,1
80,37,5,131,65332,4,4.13,1,187,1,1,1,1,1
81,23,34,199,64532,3,4.78,2,213,1,1,0,1,1
82,47,21,169,53336,4,0.62,1,28,1,1,1,0,1
83,29,0,23,18070,4,7.82,1,170,0,0,0,1,0
84,31,19,153,11320,1,0.89,2,121,1,1,1,0,1
85,46,21,185,99043,4,8.38,2,158,1,0,0,1,1
86,23,10,45,48921,3,5.64,3,85,1,1,1,1,1
87,30,12,158,16589,1,5.51,2,3,0,1,0,0,1
88,46,2,36,74409,3,7.19,2,1,1,0,1,1,0
89,33,8,111,25589,1,8.67,3,132,0,1,0,1,1
90,39,11,50,46375,3,9.46,2,78,0,0,0,0,0
91,30,22,182,53085,1,5.66,2,146,1,1,0,1,1
92,57,13,163,70840,1,1.93,1,165,0,1,1,1,1
93,57,32,126,53200,2,8.85,3,237,0,1,1,1,1
94,55,17,165,36732,3,0.89,3,275,0,1,0,0,1
95,27,8,130,32426,4,8.17,1,203,1,1,1,0,1
96,64,22,120,40982,1,6.96,3,52,0,0,0,1,1
97,61,9,131,69720,3,9.09,1,106,1,1,0,1,1
98,63,18,81,26746,1,9.03,2,54,1,1,0,0,1
99,50,4,131,38514,2,1.0,3,245,0,0,1,1,0
100,29,22,174,74889,2,6.29,2,163,0,1,0,1,1
101,31,29,182,13851,2,1.68,3,14,0,0,1,0,0
102,30,24,135,29796,2,1.25,2,0,1,1,1,0,1
103,34,27,192,86034,4,4.76,3,136,1,1,0,0,1
104,56,33,54,72798,4,1.43,3,150,0,0,1,1,0
105,55,24,47,72985,1,7.42,2,179,0,0,1,1,0
106,45,9,122,44592,3,9.7,1,231,1,1,1,0,1
107,46,13,144,54845,2,5.91,3,187,1,0,0,1,1
108,59,29,121,25930,2,2.73,1,17,1,1,0,1,1
109,57,24,156,31159,4,8.51,1,224,0,0,1,1,1
110,62,13,162,99788,4,8.6,1,104,0,0,1,1,1
111,44,34,40,34003,2,7.46,1,205,1,0,0,0,0
112,49,33,71,45139,3,6.34,1,185,1,0,0,1,0
